attributes,setup,keygen,and_encrypt,or_encrypt,and_decrypt,or_decrypt
1,0.00270598,0.004147832,0.006228126,0.007247294,0.007101152,0.007497963
5,0.00270598,0.009904046,0.031677128,0.013766309,0.006027494,0.006450883
10,0.00270598,0.015680209,0.132955226,0.023808283,0.006206086,0.007599243
15,0.00270598,0.026066370,0.247521197,0.036523221,0.006629544,0.007269950
20,0.00270598,0.028820642,0.421833014,0.044618632,0.005876830,0.006024814
25,0.00270598,0.041970258,0.692953182,0.061186497,0.006072587,0.006054567
30,0.00270598,0.044154279,1.005864210,0.073027546,0.006463419,0.007903331
35,0.00270598,0.052879992,1.331387088,0.075832501,0.006264278,0.008415404
40,0.00270598,0.060076860,1.708297640,0.088069829,0.011367311,0.005773165
45,0.00270598,0.066580429,2.224233455,0.096414002,0.010326810,0.008526685
50,0.00270598,0.075571090,2.718255224,0.115860814,0.010594549,0.009362855
